Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABprpppp	i0ya	ABprppppa	ABprppppp	0.440319753	0.83275376	0.064244914
C	0	Ca	Cp	0.921183424	-0.295026827	0.055198696
Ca	0	Caa	Cap	0.784556618	0.555745192	0.086675217
Caa	0	Caaa	Caap	0.83744363	0.431993951	0.175422653
Caaa	0	Caaaa	Caaap	0.861237085	0.307406607	0.255543719
Caap	i0za	Caapa	Caapp	0.184569679	0.113805233	0.875981632
Cap	0	Capa	Capp	0.87979399	-0.012466556	0.329768774
Capa	0	Capaa	Capap	0.868658345	-0.306806373	-0.054708729
Capp	0	Cappa	Cappp	0.65354569	-0.155141027	0.679784126
Cp	0	Cpa	Cpp	0.579821324	0.688651861	0.314794893
Cpa	a0ya	Cpaa	Cpap	0.394843318	0.848090032	0.032357985
Cpaa	0	Cpaaa	Cpaap	0.865352427	0.389115219	0.209220653
Cpap	i0za	Cpapa	Cpapp	0.3820137	0.483120947	0.699048492
Cpp	i0ya	Cppa	Cppp	-0.191914968	0.914908527	0.188178934
Cppa	i0ya	Cppaa	Cppap	0.489644893	0.728873071	0.060523361
Cppp	a0ya	Cpppa	Cpppp	0.446811769	0.60190234	0.429092931
D	i0za	Da	Dp	0.281728979	-0.499924367	0.697714142
Da	0	Daa	Dap	0.895870312	-0.190686542	-0.192781605
Dap	0	Dapa	Dapp	0.854274599	-0.273065669	0.23885984
Dp	0	Dpa	Dpp	0.57292916	0.59627153	-0.352721843
Dpa	0	Dpaa	Dpap	0.658596393	0.467644284	0.439615487
E	0	Ea	Ep	0.890255862	-0.349869258	-0.217291988
Ea	i0yr	Eal	Ear	-0.045145172	-0.768875544	-0.128648965
Eal	0	Eala	Ealp	0.879237646	0.355226497	0.079501586
Ear	0	Eara	Earp	0.857477717	0.346298303	-0.064265743
Ep	i0yr	Epl	Epr	0.179168091	-0.745407628	0.44770192
Epl	0	Epla	Eplp	0.865413983	0.328857767	-0.087796972
Epr	0	Epra	Eprp	0.808153926	0.462204756	-0.17907745
MS	0	MSa	MSp	0.86126986	-0.45000686	0.015125251
MSa	0	MSaa	MSap	0.77957123	0.310525494	-0.457505471
MSaa	0	MSaaa	MSaap	0.91836322	0.231584437	0.152376129
MSaaa	0	MSaaaa	MSaaap	0.933489754	0.221201746	0.103581455
MSaaaa	0	MSaaaaa	MSaaaap	0.806541888	0.275569179	-0.396505742
MSaaap	0	MSaaapa	MSaaapp	0.928946401	0.116373723	-0.179281986
MSaap	0	MSaapa	MSaapp	0.939604719	0.196239198	0.037865509
MSaapa	0	MSaapaa	MSaapap	0.957250884	0.042944578	-0.010277241
MSaapp	0	MSaappa	MSaappp	0.890983756	0.065648247	-0.002435065
MSap	0	MSapa	MSapp	0.840700675	-0.090375704	0.448126141
MSapa	0	MSapaa	MSapap	0.942790473	0.222806694	-0.040603294
MSapaa	0	MSapaaa	MSapaap	0.944948487	-0.115869044	-0.138118062
MSapap	0	MSapapa	MSapapp	0.89192722	-0.22784808	-0.247983281
MSapp	0	MSappa	MSappp	0.937894754	0.13459015	-0.119629715
MSappa	0	MSappaa	MSappap	0.931708045	-0.111537069	0.224816135
MSappp	0	MSapppa	MSapppp	0.915592126	-0.311065676	-0.010720139
MSp	0	MSpa	MSpp	0.932806285	-0.046735112	0.050135548
MSpa	0	MSpaa	MSpap	0.753743887	0.560715662	0.255936559
MSpaa	0	MSpaaa	MSpaap	0.884913881	0.394735021	0.013083969
MSpaaa	0	MSpaaaa	MSpaaap	0.835950629	0.096381376	-0.460803682
MSpaap	0	MSpaapa	MSpaapp	0.907067025	0.223423524	0.228911952
MSpap	0	MSpapa	MSpapp	0.869131888	0.447531252	0.004069387
MSpapa	0	MSpapaa	MSpapap	0.949839324	0.133659825	-0.129806248
MSpapp	0	MSpappa	MSpappp	0.863736696	0.420394022	-0.144783868
MSpp	0	MSppa	MSppp	0.466766334	0.757088079	0.043465243
MSppa	0	MSppaa	MSppap	0.837764149	0.480101657	0.072347233
MSppaa	0	MSppaaa	MSppaap	0.929319998	0.152795519	-0.122375973
MSppap	0	MSppapa	MSppapp	0.876327953	0.386530016	-0.114615328
MSppp	0	MSpppa	MSpppp	0.729247958	0.596410278	0.03991923
MSpppa	0	MSpppaa	MSpppap	0.859132567	0.316110642	0.317196478
MSpppp	0	MSppppa	MSppppp	0.83742414	0.487774793	0.0371472
EMS	0	E	MS	-0.909303904	-0.02498867	0.341738866
P1	0	EMS	P2	0.900818388	-0.376940951	-0.017118083
P2	0	C	P3	0.238904442	0.865428848	0.324702304
P3	0	D	P4	-0.331091781	0.837683244	0.239298979
